Model,pearson_cosine,spearman_cosine,pearson_manhattan,spearman_manhattan,pearson_euclidean,spearman_euclidean,pearson_dot,spearman_dot,pearson_max,spearman_max
AlephBERT_1_epoch,0.6917050205821156,0.6885643012340105,0.7002345610481051,0.6957973040205234,0.7002034800378032,0.6957602379298068,0.5795109051050656,0.5749882894973105,0.7002345610481051,0.6957973040205234
AlephBERT_3_epoch,0.6480633875423519,0.6528791698255534,0.6631729721886117,0.6612217738966815,0.6633760668727009,0.6620035593247524,0.576665802313937,0.578774602130919,0.6633760668727009,0.6620035593247524
AlephBERT-softmax,0.4816791265298101,0.5311217477290966,0.5257390372216177,0.5373638943287226,0.5121719241243564,0.5289507479239638,0.4036817227555074,0.4266205303568395,0.5257390372216177,0.5373638943287226
mBERT_1_epoch,0.5426267220227046,0.5617396734503085,0.5290049259253965,0.5382106568781552,0.5289741455659813,0.5386739064092949,0.3947275915541408,0.496772243222324,0.5426267220227046,0.5617396734503085
mBERT_3_epoch,0.4792807740792382,0.5186115559399527,0.501816003793804,0.5115473035293939,0.5022621175943154,0.5125567042220494,0.4338826357673246,0.4666621009550561,0.5022621175943154,0.5186115559399527
mBERT-softmax,0.3045688179845411,0.3649913904177638,0.3425763573271005,0.3550194683061301,0.3339865659435631,0.3502468360543484,0.3021221049291402,0.3148519290556883,0.3425763573271005,0.3649913904177638
DictaBERT_1_epoch,0.7096313423061382,0.7191115760002034,0.7181732353482252,0.7144775787383689,0.7188018018936472,0.7150049617357124,0.6264682469766668,0.6255514973648922,0.7188018018936472,0.7191115760002034
DictaBERT_3_epoch,0.6473188964054195,0.6732206337503219,0.681294098824982,0.6835561898937683,0.6808273263549118,0.6830685393506176,0.5879035648198319,0.5950488435785455,0.681294098824982,0.6835561898937683
DictaBERT-softmax,0.354278955938663,0.4549700731421977,0.4530726893498066,0.475730432066936,0.4291027906272425,0.4628923271688193,0.3238383209336173,0.3640552275563715,0.4530726893498066,0.475730432066936
AlephBERT_baseline,0.6693029738606914,0.650823876138318,0.6429249654157205,0.6309964885908165,0.6438809297559509,0.6317574349771251,0.4570790448514544,0.4404850323925329,0.6693029738606914,0.650823876138318
DictaBERT_baseline,0.5902947581305479,0.5799883706086636,0.5613416021692117,0.5644837538522103,0.5606875254778365,0.564094123403555,0.3333434523759931,0.340285632959757,0.5902947581305479,0.5799883706086636
mBERT_baseline,0.6642353357349713,0.6584298988979916,0.6626974382187154,0.6540315197278821,0.6618190684829819,0.6537151052453659,0.31556524678913,0.3236891516152955,0.6642353357349713,0.6584298988979916
